"","Date","Location","Airplane.model","Fatalities"
"1887","Mar 19, 2005 at 1053 LT","Entebbe, Central","Boeing 707",0
"1888","Mar 18, 2005 at 1805 LT","Forte dei Marmi, Tuscany","Canadair CL-415",2
"1889","Mar 18, 2005 at 1625 LT","Punto Fijo, Falcón","Piper PA-31-350 Navajo Chieftain",0
"1890","Mar 16, 2005 at 1353 LT","Varandey, Republic of Yamalia","Antonov AN-24",28
"1891","Mar 15, 2005 at 0018 LT","Campbeltown, Argyll","Britten-Norman Islander",2
"1892","Mar 11, 2005 at 1720 LT","Blythe, California","Mitsubishi MU-2 Marquise",0
"1893","Mar 9, 2005 at 1720 LT","Belize City, Belize","Cessna 208 Caravan",0
"1894","Mar 8, 2005 at 1200 LT","La Paragua, Bolívar","PZL-Mielec AN-2",2
"1895","Mar 8, 2005 at 0923 LT","Charallave, Miranda","Cessna 500 Citation",2
"1896","Mar 4, 2005","Impfondo, Likouala","Antonov AN-24",0
"1897","Feb 28, 2005 at 1916 LT","Campbell River, British Columbia","De Havilland DHC-2 Beaver",5
"1898","Feb 28, 2005 at 1120 LT","San Juan, Puerto Rico","Rockwell Shrike Commander 500S",0
"1899","Feb 28, 2005 at 1000 LT","Guaymas, Sonora","Cessna 411",2
"1900","Feb 24, 2005 at 1540 LT","Mexico, Mexico","IAI 1124 Westwind",7
"1901","Feb 24, 2005","Harare, Harare Province","Casa 212 Aviocar",2
"1902","Feb 22, 2005 at 2026 LT","Trinidad, Beni","Convair CV-580",0
"1903","Feb 22, 2005 at 1343 LT","Bimin, Western (Fly)","De Havilland DHC-6 Twin Otter",2
"1904","Feb 22, 2005 at 0715 LT","Sarmi, Special Region of Papua","Casa 212 Aviocar",15
"1905","Feb 21, 2005 at 1818 LT","Bromont, Quebec","BAe 125",0
"1906","Feb 16, 2005 at 0913 LT","Pueblo, Colorado","Cessna 560 Citation V",8
"1907","Feb 15, 2005","Old Fangak, Jonglei (<U+062C><U+0648><U+0646><U+0642><U+0644><U+064A>)","Hawker-Siddeley Andover C.1",0
"1908","Feb 15, 2005 at 0942 LT","New York, New York","Grumman G-21A Goose",0
"1909","Feb 13, 2005","Oranjestad, Dutch Antilles","Dassault Falcon 20",0
"1910","Feb 11, 2005 at 2110 LT","Toluca, México","Rockwell Aero Commander 685",2
"1911","Feb 3, 2005 at 2000 LT","Kabul, Kabul","Boeing 737-200",104
"1912","Feb 3, 2005 at 0807 LT","Khartoum, Khartoum (<U+0627><U+0644><U+062E><U+0631><U+0637><U+0648><U+0645>)","Ilyushin II-76",7
"1913","Feb 2, 2005 at 0718 LT","Teterboro, New Jersey","Canadair CL-600 Challenger",0
"1914","Jan 31, 2005 at 1700 LT","Helsinki, Uusimaa","Cessna 208 Caravan",0
"1915","Jan 31, 2005","Courchevel, Savoie","Rockwell Grand Commander 690",0
"1916","Jan 30, 2005 at 1630 LT","Baghdad, Baghdad (<U+0628><U+063A><U+062F><U+0627><U+062F>)","Lockheed C-130 Hercules",10
"1917","Jan 28, 2005 at 2217 LT","Kansas City, Kansas","Learjet 35",0
"1918","Jan 27, 2005 at 1130 LT","Ia<U+0219>i, Ia<U+0219>i","Let 410UVP",2
"1919","Jan 25, 2005 at 1433 LT","Rothera Station, Antarctica","Dornier DO228",0
"1920","Jan 24, 2005 at 0605 LT","Düsseldorf, North Rhine-Westphalia","Boeing 747-200",0
"1921","Jan 22, 2005 at 1300 LT","Kongolo, Katanga","Antonov AN-8",0
"1922","Jan 21, 2005 at 1000 LT","Colquiri, Cochabamba","Cessna 208 Caravan",0
"1923","Jan 21, 2005 at 0943 LT","Olathe, Kansas","Cessna 421 Golden Eagle",5
"1924","Jan 13, 2005 at 2215 LT","Keene, New Hampshire","Embraer EMB-110 Bandeirante",1
"1925","Jan 13, 2005 at 1720 LT","Tura, Krasnoyarsk Krai","PZL-Mielec AN-2",9
"1926","Jan 11, 2005 at 2145 LT","Rawlins, Wyoming","Beechcraft King Air 90",3
"1927","Jan 8, 2005 at 1548 LT","Cali, Valle del Cauca","McDonnell Douglas MD-83",0
"1928","Jan 8, 2005 at 1300 LT","Entebbe, Central","Antonov AN-12",6
"1929","Jan 4, 2005 at 0200 LT","Banda Aceh, Aceh","Boeing 737-200",0
"1930","Jan 1, 2005 at 1120 LT","Ainsworth, Nebraska","Cessna 551 Citation II",0
"1931","Dec 30, 2004","Dushanbe, Districts of Republican Subordination","Ilyushin II-76",0
"1932","Dec 29, 2004","Iraq, Iraq","Lockheed C-130 Hercules",0
"1933","Dec 29, 2004 at 1018 LT","Gallup, New Mexico","Piper PA-31-350 Navajo Chieftain",1
"1934","Dec 24, 2004 at 0933 LT","Montpellier, Hérault","Beechcraft King Air 90",3
"1935","Dec 22, 2004","Paraguay, Paraguay","Embraer EMB-820 Navajo",2
"1936","Dec 21, 2004 at 1219 LT","Galapagos Islands, Galápagos","Partenavia P.68",2
"1937","Dec 17, 2004 at 1522 LT","Denver, Colorado","Cessna 421 Golden Eagle",3
"1938","Dec 16, 2004 at 2001 LT","Oshawa, Ontario","Short 360",0
"1939","Dec 14, 2004 at 1230 LT","Monterrey, Nuevo León","Rockwell Aero Commander 685",5
"1940","Dec 11, 2004 at 1200 LT","Uberaba, Minas Gerais","Embraer EMB-110 Bandeirante",3
"1941","Dec 10, 2004 at 1940 LT","Denver, Colorado","Mitsubishi MU-2 Marquise",2
"1942","Dec 10, 2004 at 1250 LT","Bay View, Texas","Beechcraft Super King Air 200",0
"1943","Dec 10, 2004 at 1050 LT","Venezuela, Venezuela","PZL-Mielec AN-28",16
"1944","Dec 9, 2004 at 1831 LT","Tulsa, Oklahoma","Beechcraft Super King Air 200",0
"1945","Dec 8, 2004 at 1031 LT","Henderson, Nevada","Cessna 207 Skywagon",1
"1946","Dec 7, 2004 at 0140 LT","Dayton, Ohio","Piper PA-31-350 Navajo Chieftain",1
"1947","Dec 6, 2004 at 1723 LT","Hailey, Idaho","Cessna 208 Caravan",2
"1948","Dec 4, 2004 at 1441 LT","McAllen, Texas","Convair CV-580",0
"1949","Dec 4, 2004 at 0851 LT","Miami, Florida","Convair CV-340",0
"1950","Dec 2, 2004 at 1324 LT","Tennessee, Tennessee","Cessna 421 Golden Eagle",5
"1951","Dec 2, 2004 at 1310 LT","Petersburg, Virginia","Cessna 414 Chancellor",0
"1952","Dec 1, 2004 at 1623 LT","Teterboro, New Jersey","Gulfstream GIV",0
"1953","Nov 30, 2004 at 1956 LT","Saint Louis, Missouri","MBB HFB-320 Hansa Jet",2
"1954","Nov 30, 2004 at 1815 LT","Solo (Surakarta), Central Java","McDonnell Douglas MD-82",25
"1955","Nov 28, 2004 at 1850 LT","Barcelona, Catalonia","Boeing 737-400",0
"1956","Nov 28, 2004 at 1233 LT","Venezuela, Venezuela","Partenavia P.68",2
"1957","Nov 28, 2004 at 0955 LT","Montrose, Colorado","Canadair CL-600 Challenger",3
"1958","Nov 27, 2004 at 0820 LT","Afghanistan, Afghanistan","Casa 212 Aviocar",6
"1959","Nov 25, 2004 at 1434 LT","Corona, California","Cessna 411",2
"1960","Nov 22, 2004","Bangkok, Bangkok City District","Avro 748",0
"1961","Nov 22, 2004 at 0615 LT","Houston, Texas","Gulfstream GIII",3
"1962","Nov 21, 2004 at 0820 LT","Baotou, Inner Mongolia","Canadair RegionalJet CRJ-200",55
"1963","Nov 20, 2004 at 1800 LT","Swaziland, Swaziland","IAI Arava 201",0
"1964","Nov 19, 2004","Menzel Lejmat, Illizi","De Havilland DHC-6 Twin Otter",0
"1965","Nov 18, 2004 at 1302 LT","Caracas, Caracas Federal District","BAe Jetstream 31",4
"1966","Nov 17, 2004 at 0809 LT","Mt Kilimanjaro, Kilimanjaro Region","Let 410UVP",0
"1967","Nov 14, 2004 at 1718 LT","San Antonio, Texas","Piper PA-31-350 Navajo Chieftain",5
"1968","Nov 7, 2004 at 1635 LT","Sharjah, Sharjah (<U+0627><U+0644><U+0634><U+0627><U+0631><U+0642><U+0629><U+0651>)","Boeing 747-200",0
"1969","Oct 24, 2004 at 1235 LT","Martinsville, Virginia","Beechcraft Super King Air 200",10
"1970","Oct 24, 2004 at 0025 LT","San Diego, California","Learjet 35",5
"1971","Oct 23, 2004","Manaus, Amazonas","Boeing 707",0
"1972","Oct 23, 2004 at 1133 LT","Inverness, Inverness-shire","Cessna 406 Caravan",1
"1973","Oct 22, 2004 at 1345 LT","Bahamas, Bahamas","Beechcraft 1900C",0
"1974","Oct 21, 2004 at 1748 LT","Fort Lauderdale-Hollywood, Florida","Piper PA-31-350 Navajo Chieftain",0
"1975","Oct 19, 2004 at 1937 LT","Kirksville, Missouri","BAe Jetstream 31",13
"1976","Oct 19, 2004","Lanzarote, Canary Islands","Casa 212 Aviocar",0
"1977","Oct 16, 2004 at 1530 LT","Coron Island, Palawan","Britten-Norman Islander",2
"1978","Oct 15, 2004 at 0746 LT","Medellín, Antioquia","Douglas DC-3",3
"1979","Oct 14, 2004 at 2215 LT","Jefferson City, Missouri","Canadair RegionalJet CRJ-200",2
"1980","Oct 14, 2004 at 0356 LT","Halifax, Nova Scotia","Boeing 747-200",7
"1981","Oct 9, 2004","Democratic Republic of Congo, DRC","Let 410UVP",0
"1982","Oct 8, 2004 at 0915 LT","Sylhet, Sylhet","Fokker F28 Fellowship",0
"1983","Oct 6, 2004","Urimán, Bolívar","Cessna 207 Skywagon",0
"1984","Oct 5, 2004 at 1237 LT","Sudan, Sudan","Antonov AN-12",4
"1985","Oct 3, 2004 at 1620 LT","Midland, Texas","Lockheed 18 LodeStar",0
"1986","Oct 1, 2004","Douala, Littoral","Embraer EMB-110 Bandeirante",0
"1987","Sep 29, 2004 at 1859 LT","Tortuguero, Puerto Rico","Britten-Norman Islander",1
"1988","Sep 25, 2004 at 1523 LT","Fullerton, California","Bushmaster 2000",0
"1989","Sep 23, 2004 at 2345 LT","Gwinner, North Dakota","Cessna 208 Caravan",0
"1990","Sep 23, 2004 at 1619 LT","Austin, Texas","Cessna 421 Golden Eagle",2
"1991","Sep 23, 2004 at 1100 LT","Alaska, Alaska","Britten-Norman Islander",0
"1992","Sep 21, 2004 at 1410 LT","La Ronge, Saskatchewan","Swearingen SA227AC Metro III",0
"1993","Sep 20, 2004 at 1115 LT","Sitka, Alaska","De Havilland DHC-2 Beaver",5
"1994","Sep 10, 2004 at 0545 LT","George, Western Cape","Swearingen SA227AC Metro III",0
"1995","Sep 9, 2004 at 0650 LT","Villahermosa, Tabasco","Rockwell Sabreliner 40R",2
"1996","Sep 5, 2004 at 1000 LT","Kiev, Kiev oblast","Antonov AN-12",0
"1997","Sep 1, 2004 at 1602 LT","Seville, Andalusia","Piper PA-31-350 Navajo Chieftain",3
"1998","Aug 30, 2004 at 1200 LT","El Questro, Australia, Western Australia","Cessna 421 Golden Eagle",2
"1999","Aug 27, 2004 at 1600 LT","McGrath, Alaska","De Havilland DHC-3 Otter",1
"2000","Aug 27, 2004","Gisenyi, Western","Sud-Aviation SE-210 Caravelle",0
"2001","Aug 24, 2004 at 2253 LT","Tula, Tula oblast","Tupolev TU-134",44
"2002","Aug 24, 2004 at 2253 LT","Rostov-on-Don, Rostov oblast","Tupolev TU-154",46
"2003","Aug 21, 2004 at 1615 LT","El Libertador AFB (Maracay), Aragua","Short 360",30
"2004","Aug 20, 2004 at 1334 LT","Clarkson-Ledgedale, New York","Piper PA-31-350 Navajo Chieftain",1
"2005","Aug 18, 2004 at 1110 LT","Goma, Nord-Kivu","Cessna 208 Caravan",3
"2006","Aug 17, 2004 at 2340 LT","Great Falls, Montana","Beechcraft 99",2
"2007","Aug 17, 2004 at 1515 LT","Pensacola, Florida","Beechcraft King Air 90",0
"2008","Aug 16, 2004 at 0835 LT","Panama City, Panamá","Cessna 208 Caravan",0
"2009","Aug 13, 2004 at 0049 LT","Cincinnati, Ohio","Convair CV-580",1
"2010","Aug 11, 2004 at 1423 LT","Freetown, Western Area","Boeing 737-200",0
"2011","Aug 5, 2004 at 1648 LT","San Carlos de Rio Negro, Amazonas","Casa 212 Aviocar",0
"2012","Aug 3, 2004","La Ceiba, Atlántida","Rockwell Aero Commander 700",2
"2013","Jul 29, 2004 at 1030 LT","Papua New Guinea, PNG","De Havilland DHC-6 Twin Otter",2
"2014","Jul 28, 2004 at 1048 LT","Benalla, Victoria","Piper PA-31 Cheyenne",6
"2015","Jul 24, 2004 at 1200 LT","Punto Fijo, Falcón","Beechcraft Super King Air 350",0
"2016","Jul 23, 2004 at 0930 LT","El Jaguey, La Unión","Basler BT-67",0
"2017","Jul 21, 2004 at 1933 LT","Mexico City, Federal District of Mexico City","Douglas DC-9",0
"2018","Jul 19, 2004 at 1137 LT","Fort Lauderdale-Hollywood, Florida","Learjet 55 Longhorn",0
"2019","Jul 16, 2004 at 1324 LT","Østre Æra, Hedmark","PZL-Mielec AN-28",0
"2020","Jul 13, 2004 at 1902 LT","Saint Kitts and Nevis, Saint Kitts and Nevis","Learjet 35",0
"2021","Jul 13, 2004 at 0001 LT","Fort Vermilion, Alberta","Beechcraft King Air 100",0
"2022","Jul 12, 2004 at 0715 LT","Tortola, BVI","Convair CV-440 Metropolitan",1
"2023","Jul 10, 2004 at 0858 LT","Ticonderoga, New York","Piper PA-31-350 Navajo Chieftain",2
"2024","Jul 9, 2004 at 1740 LT","Portugal, Portugal","Canadair CL-215",0
"2025","Jul 9, 2004","Lipetsk, Lipetsk oblast","PZL-Mielec AN-2",0
"2026","Jul 3, 2004","Ontario, Ontario","Noorduyn Norseman",0
"2027","Jul 2, 2004 at 1338 LT","Panama City, Panamá","IAI 1124 Westwind",7
"2028","Jun 30, 2004 at 0610 LT","Green Bay, Wisconsin","Beechcraft Super King Air 200",0
"2029","Jun 28, 2004 at 1710 LT","São Sebastião, Nampula","Beechcraft Super King Air 200",2
"2030","Jun 26, 2004 at 1852 LT","Wau, Western Bahr el Ghazal (<U+063A><U+0631><U+0628> <U+0628><U+062D><U+0631> <U+0627><U+0644><U+063A><U+0632><U+0627><U+0644>)","Antonov AN-12",0
"2031","Jun 26, 2004 at 1728 LT","Moscow, Moscow oblast","Lisunov LI-2",3
"2032","Jun 23, 2004 at 1940 LT","Siglufjörður, Northeastern Region (Norðurland eystra)","Dornier DO228",0
"2033","Jun 21, 2004 at 1700 LT","Las Gaviotas, Casanare","Douglas DC-3",0
"2034","Jun 16, 2004","Chitral, Khyber Pakhtunkhwa (<U+062E><U+06CC><U+0628><U+0631><U+067E><U+062E><U+062A><U+0648><U+0646><U+062E><U+0648><U+0627>)","Fokker F27 Friendship",0
"2035","Jun 14, 2004 at 1340 LT","Gatineau, Quebec","De Havilland DHC-2 Beaver",1
"2036","Jun 14, 2004 at 1137 LT","Kodiak, Alaska","Beechcraft C-45 Expeditor",1
"2037","Jun 13, 2004 at 0830 LT","Lewisburg, West Virginia","Beechcraft Super King Air 200",2
"2038","Jun 8, 2004 at 0938 LT","Libreville, Gabon","Avro 748",19
"2039","Jun 7, 2004","Geneina, West Darfur (<U+063A><U+0631><U+0628> <U+062F><U+0627><U+0631><U+0641><U+0648><U+0631>)","Antonov AN-26",0
"2040","Jun 3, 2004","Henitchesk, Kherson Oblast","PZL-Mielec AN-2",0
"2041","Jun 1, 2004 at 0700 LT","Kigali, Kigali City","Antonov AN-32",0
"2042","May 27, 2004 at 1557 LT","Las Vegas, Nevada","Raytheon 390 Premier I",0
"2043","May 25, 2004 at 1356 LT","Lukla, Sagarmatha","De Havilland DHC-6 Twin Otter",3
"2044","May 23, 2004 at 0730 LT","Kenya, Kenya","Let 410UVP",2
"2045","May 19, 2004 at 1040 LT","Bozoy, Aktobe","PZL-Mielec AN-2",1
"2046","May 18, 2004 at 1800 LT","Sioux Lookout, Ontario","De Havilland DHC-2 Beaver",4
"2047","May 18, 2004 at 1050 LT","Urumqi, Xinjiang Uyghur","Ilyushin II-76",7
"2048","May 14, 2004 at 1837 LT","Manaus, Amazonas","Embraer EMB-120 Brasília",33
"2049","May 14, 2004 at 0724 LT","Baltimore, Maryland","Mitsubishi MU-2 Marquise",1
"2050","May 11, 2004","Dalang, South Kordofan (<U+062C><U+0646><U+0648><U+0628> <U+0643><U+0631><U+062F><U+0641><U+0627><U+0646>)","Antonov AN-12",7
"2051","May 9, 2004 at 1450 LT","San Juan, Puerto Rico","ATR72-200",0
"2052","May 7, 2004 at 2130 LT","Alaska, Alaska","Douglas C-54 Skymaster",0
"2053","May 7, 2004 at 1500 LT","Jiech, Jonglei (<U+062C><U+0648><U+0646><U+0642><U+0644><U+064A>)","Let 410UVP",6
"2054","May 6, 2004 at 1358 LT","Fort-de-France, Martinique","Transall C-160",0
"2055","May 5, 2004 at 1630 LT","Vallecillos, Nuevo León","Britten-Norman Islander",2
"2056","May 5, 2004 at 1300 LT","Carepa, Antioquia","Swearingen SA227AC Metro III",5
"2057","May 4, 2004 at 1145 LT","Venezuela, Venezuela","Cessna 208 Caravan",7
"2058","May 2, 2004 at 1750 LT","Aguascalientes, Aguascalientes","Rockwell Gulfstream Jetprop 840",7
"2059","Apr 28, 2004 at 0356 LT","Bogotá, Bogotá Capital District","Douglas DC-10",0
"2060","Apr 27, 2004 at 0415 LT","Melo, Cerro Largo","Fokker F27 Friendship",0
"2061","Apr 20, 2004","Nampula, Nampula","Cessna 404 Titan",2
"2062","Apr 20, 2004 at 1038 LT","Trieste, Friuli-Venezia Giulia","McDonnell Douglas MD-82",0
"2063","Apr 19, 2004 at 1018 LT","Chibougamau, Quebec","Beechcraft King Air 100",0
"2064","Apr 16, 2004 at 1450 LT","Papeete, Tahiti","Beechcraft Super King Air 200",0
"2065","Apr 14, 2004 at 1915 LT","Daytona Beach, Florida","Beechcraft Super King Air 300",0
"2066","Apr 7, 2004 at 1032 LT","Blackbushe, Hampshire","Raytheon 390 Premier I",0
"2067","Apr 4, 2004","Puerto Esperenza, Ucayali","Antonov AN-32",0
"2068","Apr 3, 2004","Shabunda, Sud-Kivu","Canadair CL-66 Cosmopolitan",0
"2069","Apr 2, 2004 at 0500 LT","Cairo, Cairo","Boeing 707",0
"2070","Mar 29, 2004 at 0805 LT","Maracaibo, Zulia","Beechcraft Queen Air 80",0
"2071","Mar 25, 2004 at 0533 LT","Massachusetts, Massachusetts","Mitsubishi MU-2 Marquise",1
"2072","Mar 24, 2004 at 2125 LT","Pavlovsk, Voronezh oblast","PZL-Mielec AN-2",3
"2073","Mar 20, 2004 at 1159 LT","Punta Gorda, Belize","Cessna 208 Caravan",0
"2074","Mar 19, 2004 at 0645 LT","Utica, New York","Learjet 35",0
"2075","Mar 17, 2004 at 0615 LT","Lake Manyara, Manyara","Cessna 208 Caravan",0
"2076","Mar 16, 2004 at 0401 LT","Nevada, Nevada","Beechcraft 1900C",5
"2077","Mar 12, 2004 at 1302 LT","Florence, Tuscany","Cessna 525 CJ1",0
"2078","Mar 11, 2004 at 2035 LT","Napa, California","Mitsubishi MU-2 Marquise",2
"2079","Mar 10, 2004 at 2042 LT","San Diego, California","Cessna 560 Citation V",4
"2080","Mar 8, 2004 at 1100 LT","Draguignan, Var","Canadair CL-415",2
"2081","Mar 5, 2004","Esmeraldas, Esmeraldas","Dornier DO.28D Skyservant",0
"2082","Mar 4, 2004 at 0940 LT","Baku, Absheron","Ilyushin II-76",3
"2083","Mar 1, 2004 at 0140 LT","Jeddah, Makkah l-Mukarramah (<U+0645><U+0643><U+0629> <U+0627><U+0644><U+0645><U+0643><U+0631><U+0645><U+0629>)","Airbus A300",0
"2084","Feb 26, 2004 at 0745 LT","Mostar, East Herzegovina","Beechcraft Super King Air 200",9
"2085","Feb 24, 2004 at 0549 LT","Cagliari, Sardinia","Cessna 500 Citation",6
"2086","Feb 23, 2004","Teresina, Piauí","Embraer EMB-820 Navajo",2
"2087","Feb 20, 2004 at 2157 LT","Fort Lauderdale-Hollywood, Florida","Learjet 25",0
"2088","Feb 19, 2004 at 1643 LT","Hobart, Tasmania","Rockwell Shrike Commander 500S",1
"2089","Feb 18, 2004 at 1352 LT","Kahului, Hawaii","Piper PA-31-350 Navajo Chieftain",0
"2090","Feb 17, 2004 at 0257 LT","Dodge City, Kansas","Beechcraft King Air 90",3
"2091","Feb 10, 2004 at 1138 LT","Sharjah, Sharjah (<U+0627><U+0644><U+0634><U+0627><U+0631><U+0642><U+0629><U+0651>)","Fokker 50",43
"2092","Feb 8, 2004 at 1610 LT","Cairns, Queensland","Cessna 208 Caravan",0
"2093","Feb 4, 2004 at 2233 LT","Colombo, Western Province (<U+0BAE><U+0BC7><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>)","Ilyushin II-18",0
"2094","Jan 31, 2004 at 1800 LT","Reus, Catalonia","Swearingen SA226AC Metro II",0
"2095","Jan 31, 2004 at 1632 LT","Marathon, Florida","Beechcraft King Air 90",2
"2096","Jan 31, 2004 at 0140 LT","Hawaii, Hawaii","Cessna 414 Chancellor",3
"2097","Jan 28, 2004 at 2055 LT","Ghardaïa, Ghardaïa","Beechcraft 1900D",1
"2098","Jan 27, 2004 at 1440 LT","Luena, Moxico","Ilyushin II-18",0
"2099","Jan 21, 2004 at 0040 LT","Pueblo, Colorado","Dassault Falcon 20",0
"2100","Jan 19, 2004","Mulia, Special Region of Papua","De Havilland DHC-6 Twin Otter",0
"2101","Jan 17, 2004 at 1638 LT","Ontario, Ontario","Cessna 208 Caravan",10
"2102","Jan 13, 2004 at 1927 LT","Tashkent, Tashkent Province (Toshkent viloyati)","Yakovlev Yak-40",37
"2103","Jan 5, 2004","Papua New Guinea, PNG","De Havilland DHC-6 Twin Otter",0
"2104","Jan 3, 2004 at 1212 LT","Cortez, Colorado","Rockwell Grand Commander 690",1
"2105","Jan 3, 2004 at 0445 LT","Sharm el-Sheikh, South Sinai","Boeing 737-300",148
"2106","Jan 2, 2004 at 1630 LT","Koyukuk, Alaska","Piper PA-31-350 Navajo Chieftain",0
"2107","Jan 2, 2004 at 1625 LT","Toussus-le-Noble, Yvelines","Piper PA-31 Cheyenne",3
"2108","Jan 1, 2004","Terrace Bay, Ontario","Beechcraft King Air 100",0
"2109","Dec 30, 2003 at 1115 LT","Palm Beach-Intl, Florida","Cessna 441 Conquest",1
"2110","Dec 26, 2003 at 0601 LT","Pacific Ocean, World","PAC 750XL - Pacific Aerospace Corporation",1
"2111","Dec 25, 2003 at 1459 LT","Cotonou, Littoral","Boeing 727-200",141
"2112","Dec 23, 2003 at 0913 LT","Helendale, California","Learjet 24",2
"2113","Dec 19, 2003 at 1844 LT","Libreville, Gabon","Boeing 737-300",0
"2114","Dec 19, 2003 at 1500 LT","New Zealand, New Zealand","Fletcher FU-24",1
"2115","Dec 18, 2003 at 1700 LT","Mitú, Vaupés","Douglas DC-9",3
"2116","Dec 18, 2003 at 1226 LT","Memphis, Tennessee","Douglas DC-10",0
"2117","Dec 17, 2003 at 1035 LT","France, France","Casa-Nurtanio CN235 (IPTN)",7
"2118","Dec 16, 2003 at 1200 LT","Ontario, Ontario","De Havilland DHC-3 Otter",2
"2119","Dec 16, 2003 at 0730 LT","Wausau, Wisconsin","Beechcraft 99",0
"2120","Dec 15, 2003 at 1723 LT","Upland, California","Cessna 421 Golden Eagle",1
"2121","Dec 13, 2003 at 2248 LT","Lima, Lima","Boeing 737-200",0
"2122","Dec 12, 2003 at 1500 LT","Tuguegarao, Cagayan","Britten-Norman Islander",3
"2123","Dec 11, 2003 at 1047 LT","Greeneville, Tennessee","Cessna 414 Chancellor",4
"2124","Dec 10, 2003 at 1420 LT","Birmingham, Alabama","Cessna 441 Conquest",2
"2125","Dec 7, 2003 at 1337 LT","Lokichogio, Rift Valley","Fokker F28 Fellowship",0
"2126","Dec 6, 2003 at 1124 LT","Oxford, Oxfordshire","Socata TBM-700",3
"2127","Dec 4, 2003 at 1940 LT","Newnan, Georgia","Beechcraft Super King Air 200",2
"2128","Dec 4, 2003 at 0909 LT","Bodø, Nordland","Dornier DO228",0
"2129","Dec 3, 2003 at 0555 LT","Denver, Colorado","Swearingen SA226AC Metro II",0
"2130","Nov 29, 2003 at 1516 LT","Boende, Équateur","Antonov AN-26",33
"2131","Nov 29, 2003 at 0935 LT","Alaska, Alaska","De Havilland DHC-2 Beaver",0
"2132","Nov 29, 2003 at 0801 LT","Spokane, Washington","Swearingen SA226T Merlin",1
"2133","Nov 29, 2003 at 0235 LT","Lagos, Lagos","Boeing 747-200",0
"2134","Nov 27, 2003 at 0752 LT","Jacksonville, Florida","Swearingen SA226T Merlin",1
"2135","Nov 21, 2003","Luanda, Luanda","BAe 125",0
"2136","Nov 18, 2003 at 1410 LT","Mineral Wells, Texas","Cessna 550 Citation II",0
"2137","Nov 18, 2003 at 0721 LT","Grand Junction, Colorado","Swearingen SA226AC Metro II",0
"2138","Nov 17, 2003 at 1625 LT","Wau, Western Bahr el Ghazal (<U+063A><U+0631><U+0628> <U+0628><U+062D><U+0631> <U+0627><U+0644><U+063A><U+0632><U+0627><U+0644>)","Antonov AN-12",13
"2139","Nov 12, 2003 at 0645 LT","Saint Louis, Missouri","Learjet 24",0
"2140","Nov 8, 2003 at 1100 LT","Ogle, Guyana","Short SC.7 Skyvan Variant",2
"2141","Nov 5, 2003","Russia, Russia","Antonov AN-2",0
"2142","Nov 3, 2003 at 0735 LT","Geneina, West Darfur (<U+063A><U+0631><U+0628> <U+062F><U+0627><U+0631><U+0641><U+0648><U+0631>)","Antonov AN-12",0
"2143","Nov 2, 2003 at 2331 LT","Kralendijk, Dutch Antilles","Mitsubishi MU-2 Marquise",0
"2144","Oct 30, 2003","Kamina, Katanga","PZL-Mielec AN-28",0
"2145","Oct 29, 2003 at 1222 LT","Kelso, California","Cessna 421 Golden Eagle",5
"2146","Oct 29, 2003 at 0854 LT","Cody, Wyoming","Cessna 208 Caravan",1
"2147","Oct 28, 2003 at 0742 LT","Zurich, Zurich","Piper PA-42 Cheyenne",0
"2148","Oct 27, 2003 at 0808 LT","Tampico, Tamaulipas","Hawker 800XP",3
"2149","Oct 26, 2003 at 0431 LT","Buenos Aires, Buenos Aires City","Fairchild-Hiller FH-227",5
"2150","Oct 24, 2003 at 1742 LT","Dundee, Angus (Forfarshire)","Socata TBM-700",0
"2151","Oct 20, 2003","Tarauacá, Acre","Fokker F27 Friendship",0
"2152","Oct 17, 2003 at 1530 LT","Texas, Texas","Beechcraft King Air 90",0
"2153","Oct 13, 2003","Urimán, Bolívar","PZL-Mielec AN-2",0
"2154","Oct 11, 2003 at 1600 LT","Urimán, Bolívar","PZL-Mielec AN-2",1
"2155","Oct 9, 2003","Russia, Russia","PZL-Mielec AN-2",0
"2156","Oct 8, 2003 at 1825 LT","Harrison, Arkansas","Rockwell Grand Commander 680",0
"2157","Oct 3, 2003 at 2126 LT","Waikanae, Greater Wellington Regional Council","Convair CV-580",2
"2158","Oct 3, 2003 at 1116 LT","California, California","Lockheed P-2 Neptune",2
"2159","Sep 27, 2003 at 1857 LT","Gaspé, Quebec","Piper PA-31-350 Navajo Chieftain",3
"2160","Sep 25, 2003 at 1126 LT","Fort Pierce, Florida","Grumman G-64 Albatross",2
"2161","Sep 24, 2003","Wau, Western Bahr el Ghazal (<U+063A><U+0631><U+0628> <U+0628><U+062D><U+0631> <U+0627><U+0644><U+063A><U+0632><U+0627><U+0644>)","Antonov AN-12",0
"2162","Sep 23, 2003 at 1936 LT","Alberta, Alberta","Cessna 414 Chancellor",1
"2163","Sep 23, 2003 at 0523 LT","Nantucket, Massachusetts","Cessna 402",1
"2164","Sep 22, 2003 at 2330 LT","South Carolina, South Carolina","Beechcraft King Air 90",0
"2165","Sep 20, 2003 at 1854 LT","Beaumont, Texas","BAe 125",3
"2166","Sep 19, 2003 at 2000 LT","Mexico, Mexico","Lockheed C-130 Hercules",6
