"","Date","Location","Airplane.model","Fatalities"
"91","Oct 11, 2016 at 1638 LT","Belaya Gora, Republic of Yakutia (Sakha)","Antonov AN-26",0
"92","Oct 10, 2016 at 0925 LT","Laidman Lake, British Columbia","De Havilland DHC-2 Beaver",1
"93","Oct 9, 2016 at 1000 LT","Uchuquinua, Cajamarca","Cessna 207 Skywagon",3
"94","Oct 2, 2016 at 1330 LT","Togiak, Alaska","Cessna 208B Grand Caravan",3
"95","Sep 30, 2016 at 1200 LT","San Antonio de Prado, Antioquia","Cessna 208B Grand Caravan",4
"96","Sep 30, 2016 at 0845 LT","Lopez Island, Washington","De Havilland DHC-2 Beaver",0
"97","Sep 25, 2016 at 1946 LT","Jakarta-Perdanakusuma, City District of Jakarta","Learjet 31",0
"98","Sep 24, 2016 at 1656 LT","Siddharthanagar, Lumbini","Bae Jetstream 41",0
"99","Sep 13, 2016","Wamena, Special Region of Papua","Boeing 737-300",0
"100","Sep 10, 2016 at 1535 LT","Orlando-Apopka, Florida","Beechcraft Super King Air 200",0
"101","Aug 31, 2016 at 1001 LT","Russian Mission, Alaska","Cessna 208B Grand Caravan",3
"102","Aug 16, 2016 at 1540 LT","Charallave, Miranda","Cessna 550 Citation II",2
"103","Aug 14, 2016 at 1120 LT","Tuscaloosa, Alabama","Piper PA-31-310 Navajo",6
"104","Aug 5, 2016 at 0407 LT","Bergamo, Lombardy","Boeing 737-400",0
"105","Aug 3, 2016 at 1237 LT","Dubai, Dubai","Boeing 777-300",0
"106","Aug 2, 2016 at 2030 LT","Destin-Executive, Florida","Cessna 414 Chancellor",1
"107","Aug 1, 2016 at 1630 LT","Bangkok, Bangkok City District","Piper PA-31-350 Navajo Chieftain",1
"108","Aug 1, 2016 at 0730 LT","Canaima, Bolívar","Piper PA-31-350 Navajo Chieftain",2
"109","Jul 31, 2016 at 2100 LT","Londrina, Paraná","Embraer EMB-820 Navajo",8
"110","Jul 31, 2016 at 1335 LT","Krapivinsky, Kemerovo oblast","PZL-Mielec AN-2",3
"111","Jul 29, 2016 at 0105 LT","McKinleyville, California","Piper PA-31 Cheyenne",4
"112","Jul 26, 2016 at 1509 LT","Houston-Sugar Land, Texas","Embraer EMB-505 Phenom 300",0
"113","Jul 22, 2016","Bay of Bengal, World","Antonov AN-32",29
"114","Jul 20, 2016 at 1220 LT","Jinshan, Shanghai","Cessna 208B Grand Caravan",5
"115","Jul 15, 2016 at 2220 LT","Elwyn Creek, British Columbia","De Havilland DHC-2 Beaver",1
"116","Jul 11, 2016 at 1200 LT","Montijo AFB, Estremadura - Lisbon District","Lockheed C-130 Hercules",3
"117","Jul 1, 2016 at 1130 LT","Uyan, Irkutsk oblast","Ilyushin II-76",10
"118","Jun 30, 2016 at 0610 LT","Novopokrovskoye, Saratov oblast","PZL-Mielec AN-2",2
"119","Jun 26, 2016 at 1109 LT","Dervenochoria, Central Greece / Ste<U+03C1>e<U+03AC> <U+0395><U+03BB><U+03BB><U+03AC>da","Canadair CL-215",0
"120","Jun 26, 2016","Bereke, Almaty Province","PZL-Mielec AN-2",1
"121","Jun 19, 2016 at 1908 LT","Ferreira do Alentejo, Baixo Alentejo","Pilatus PC-6 (Porter & Turbo Porter)",1
"122","Jun 17, 2016 at 1330 LT","Goodnews Bay, Alaska","Cessna 207 Skywagon",0
"123","Jun 16, 2016 at 1305 LT","B<U+1EA1>ch Long Vi Island, H<U+1EA3>i Phòng City District","Casa 212 Aviocar",9
"124","Jun 16, 2016 at 0820 LT","State College, Pennsylvania","Piper PA-31-310 Navajo",2
"125","Jun 14, 2016 at 0758 LT","Lolat, Special Region of Papua","Cessna 208B Grand Caravan",0
"126","Jun 14, 2016","Bor, Jonglei (<U+062C><U+0648><U+0646><U+0642><U+0644><U+064A>)","Antonov AN-32",0
"127","Jun 11, 2016 at 1245 LT","Marina di Cecina, Tuscany","Pilatus PC-6 (Porter & Turbo Porter)",2
"128","May 31, 2016 at 2125 LT","Beaverdell, British Columbia","Rockwell Aero Commander 700",0
"129","May 31, 2016 at 1140 LT","Trapani, Sicily","Piaggio P.1HH HammerHead",0
"130","May 19, 2016 at 0237 LT","Mediterranean Sea, World","Airbus A320",66
"131","May 18, 2016 at 1900 LT","Camp Dwyer AFB, Helmand","Antonov AN-12",7
"132","May 18, 2016 at 0830 LT","Andersen AFB, Guam Island","Boeing B-52 Stratofortress",0
"133","May 12, 2016 at 1400 LT","Lodi, California","Cessna 208B Grand Caravan",0
"134","May 10, 2016 at 1030 LT","Lumby, British Columbia","De Havilland DHC-2 Beaver",0
"135","May 5, 2016 at 1611 LT","Manning, Alberta","Convair CV-580",0
"136","Apr 30, 2016","El Obeid, North Kurdufan (<U+0634><U+0645><U+0627><U+0644> <U+0643><U+0631><U+062F><U+0641><U+0627><U+0646>)","Antonov AN-26",5
"137","Apr 26, 2016 at 1425 LT","Foley, Alabama","Cessna 421B Golden Eagle II",0
"138","Apr 19, 2016 at 0920 LT","Slidell, Louisiana","Beechcraft King Air 90",2
"139","Apr 14, 2016 at 1420 LT","Maryevka, Samara oblast","PZL-Mielec AN-2",1
"140","Apr 13, 2016 at 1420 LT","Kiunga, Western (Fly)","Britten-Norman Islander",12
"141","Apr 9, 2016 at 0904 LT","Hare, Texas","Rockwell Grand Commander 690",2
"142","Apr 6, 2016 at 1435 LT","Kanoya AFB, Kyushu","BAe 125",6
"143","Apr 6, 2016 at 0625 LT","Puerto Gaitán, Casanare","Douglas DC-3",0
"144","Apr 4, 2016 at 1957 LT","Jakarta-Perdanakusuma, City District of Jakarta","ATR42-600",0
"145","Apr 3, 2016 at 0732 LT","Aksarino, Republic of Tatarstan","PZL-Mielec AN-2",0
"146","Mar 29, 2016 at 1140 LT","Le Havre-aux-Maisons (Magdalen Islands), Quebec","Mitsubishi MU-2 Marquise",7
"147","Mar 29, 2016","Rostov-on-Don, Rostov oblast","Antonov AN-26",0
"148","Mar 19, 2016 at 1523 LT","Campo de Marte AFB (São Paulo), São Paulo","Comp Air CA-9",7
"149","Mar 19, 2016 at 0341 LT","Rostov-on-Don, Rostov oblast","Boeing 737-800",62
"150","Mar 18, 2016 at 1630 LT","Oeiras, Piauí","Beechcraft King Air 90",0
"151","Mar 16, 2016","Hawijah, Kirkuk (<U+0643><U+0631><U+0643><U+0648><U+0643>)","Cessna 208B Grand Caravan",3
"152","Mar 15, 2016 at 1430 LT","Fátima, Pastaza","IAI Arava 201",22
"153","Mar 9, 2016 at 0905 LT","Cox's Bazar, Chittagong","Antonov AN-26",3
"154","Mar 3, 2016","Langebaanweg AFB, Western Cape","Cessna 208 Caravan",0
"155","Feb 26, 2016 at 1305 LT","Chilkhaya, Karnali","PAC 750XL - Pacific Aerospace Corporation",2
"156","Feb 26, 2016 at 0840 LT","Kuala Selangor, Selangor","Casa-Nurtanio CN235 (IPTN)",0
"157","Feb 24, 2016 at 0800 LT","Dana, Dhawalagiri","De Havilland DHC-6 Twin Otter",23
"158","Feb 10, 2016 at 0940 LT","Naypyidaw, Mandalay Region","Beechcraft 1900D",5
"159","Feb 6, 2016 at 1246 LT","Gai, Orenburg oblast","PZL-Mielec AN-2",3
"160","Feb 1, 2016 at 0518 LT","Florianópolis, Santa Catarina","Socata TBM-900",2
"161","Jan 30, 2016 at 0738 LT","Santiago de Querétaro, Querétaro","Rockwell Sabreliner 75",0
"162","Jan 29, 2016 at 1011 LT","Windhoek-Hosea Kutako, Khomas Region","Cessna 425 Conquest",3
"163","Jan 28, 2016 at 1730 LT","Mashhad, Razavi Khorasan","McDonnell Douglas MD-83",0
"164","Jan 28, 2016 at 1530 LT","Whitsunday Island, Queensland","Cessna 208 Caravan",0
"165","Jan 18, 2016 at 1000 LT","Cedar Fort, Utah","Cessna 525 CJ1",2
"166","Jan 8, 2016 at 0020 LT","Akkajaure Lake, Norrbotten","Canadair RegionalJet CRJ-200",2
"167","Jan 6, 2016 at 0836 LT","Savannah, Georgia","Pilatus PC-12",0
"168","Jan 3, 2016 at 1430 LT","Paraty, Rio de Janeiro","Beechcraft King Air 90",2
"169","Jan 2, 2016 at 1253 LT","Anaktuvuk Pass, Alaska","Cessna 208B Grand Caravan",0
"170","Dec 23, 2015 at 1400 LT","Telluride, Colorado","Hawker 400",0
"171","Dec 22, 2015 at 0940 LT","New Delhi, National Capital Territory of Delhi","Beechcraft Super King Air 200",10
"172","Dec 11, 2015 at 0910 LT","Pickle Lake, Ontario","Cessna 208B Grand Caravan",1
"173","Dec 10, 2015 at 1153 LT","Omaha, Nebraska","Piper PA-46 Malibu Meridian (Malibu Mirage)",1
"174","Dec 7, 2015 at 1055 LT","Swellendam, Western Cape","Eclipse EA500",1
"175","Nov 26, 2015 at 1826 LT","Mexico City, Federal District of Mexico City","Boeing 737-300",0
"176","Nov 22, 2015 at 0758 LT","Osh, Osh City","Boeing 737-300",0
"177","Nov 17, 2015 at 1001 LT","Acandí, Chocó","Cessna 402",2
"178","Nov 10, 2015 at 1904 LT","Guarda-Mor, Minas Gerais","Cessna 650 Citation VII",4
"179","Nov 10, 2015 at 1451 LT","Akron, Ohio","BAe 125",9
"180","Nov 10, 2015","Malakal, Upper Nile (<U+0623><U+0639><U+0627><U+0644><U+064A> <U+0627><U+0644><U+0646><U+064A><U+0644>)","Hawker-Siddeley Andover C.1",0
"181","Nov 9, 2015 at 1001 LT","Climax, Georgia","Cessna 441 Conquest",2
"182","Nov 4, 2015 at 0900 LT","Juba, Central Equatoria (<U+0627><U+0644><U+0627><U+0633><U+062A><U+0648><U+0627><U+0626><U+064A><U+0629> <U+0627><U+0644><U+0648><U+0633><U+0637><U+0649>)","Antonov AN-12",41
"183","Nov 3, 2015 at 0927 LT","Lahore, Punjab (<U+067E><U+0646><U+062C><U+0627><U+0628>)","Boeing 737-400",0
"184","Nov 2, 2015","Koussané, Kayes","Fokker F27 Friendship",0
"185","Nov 2, 2015","Kinshasa-N'Djili, Kinshasa City Province","Grumman G-159 Gulfstream GI",0
"186","Oct 31, 2015 at 0613 LT","Hasna, North Sinai","Airbus A321",224
"187","Oct 29, 2015 at 1232 LT","Fort Lauderdale-Hollywood, Florida","Boeing 767-200",0
"188","Oct 28, 2015 at 1615 LT","Buenos Aires, Buenos Aires City","Pilatus PC-6 (Porter & Turbo Porter)",2
"189","Oct 26, 2015 at 1245 LT","Weston, Florida","Piper PA-31-350 Navajo Chieftain",0
"190","Oct 22, 2015 at 1700 LT","La Tinaja, Guanajuato","Learjet 31",4
"191","Oct 19, 2015 at 0645 LT","San Fernando, Buenos Aires province","Learjet 35",0
"192","Oct 16, 2015 at 1515 LT","Taylor, British Columbia","Cessna 207 Skywagon",2
"193","Oct 15, 2015 at 1810 LT","Ray, Michigan","Comp Air CA-8",0
"194","Oct 14, 2015 at 1548 LT","Hammond-Northshore, Louisiana","Cessna 421B Golden Eagle II",2
"195","Oct 14, 2015","Yumbillo, Valle del Cauca","Cessna 208B Grand Caravan",3
"196","Oct 12, 2015 at 1930 LT","Afgooye, Shabeellaha Hoose (<U+0634><U+0628><U+064A><U+0644><U+064A> <U+0627><U+0644><U+0633><U+0641><U+0644><U+0649>)","Airbus A300",0
"197","Oct 12, 2015 at 1400 LT","Bamyan, Bamyan","Cessna 208B Grand Caravan",2
"198","Oct 6, 2015 at 0831 LT","Tamale, Northern","BAe 146",0
"199","Oct 3, 2015 at 1020 LT","Stapleford, Essex","Beechcraft Super King Air 200",2
"200","Oct 3, 2015","Bogotá-Guaymaral, Bogotá Capital District","Piper PA-31-310 Navajo",2
"201","Oct 2, 2015 at 1515 LT","Mt Latimojong, South Sulawesi","De Havilland DHC-6 Twin Otter",10
"202","Oct 2, 2015 at 1203 LT","Veracruz, Rivas","Piper PA-31-310 Navajo",1
"203","Oct 2, 2015 at 0019 LT","Jalalabad, Nangarhar","Lockheed C-130 Hercules",13
"204","Oct 2, 2015","Dubai-Palm Jumeirah, Dubai","De Havilland DHC-6 Twin Otter",0
"205","Sep 30, 2015 at 1016 LT","Saarbrücken, Saarland","De Havilland Dash-8-400",0
"206","Sep 25, 2015 at 1200 LT","Déline, Northwest Territories","Curtiss C-46",0
"207","Sep 24, 2015 at 1325 LT","Ozren, Republika Srpska","Cessna 421B Golden Eagle II",1
"208","Sep 21, 2015 at 1620 LT","Boise, Idaho","Rockwell Aero Commander 680",0
"209","Sep 16, 2015 at 1155 LT","Bratsk, Irkutsk oblast","PZL-Mielec AN-2",0
"210","Sep 15, 2015 at 1845 LT","Thompson, Manitoba","Piper PA-31-350 Navajo Chieftain",0
"211","Sep 15, 2015 at 0606 LT","Iliamna, Alaska","De Havilland DHC-3 Otter",3
"212","Sep 11, 2015 at 2230 LT","San Pedro de los Milagros, Antioquia","Piper PA-60 Aerostar (Ted Smith 600)",2
"213","Sep 8, 2015 at 1612 LT","Las Vegas, Nevada","Boeing 777-200",0
"214","Sep 6, 2015 at 1445 LT","Franklin, North Carolina","De Havilland DHC-6 Twin Otter",0
"215","Sep 5, 2015 at 1812 LT","Atlantic Ocean, World","BAe 125",7
"216","Aug 29, 2015 at 1430 LT","Casale Monferrato, Piedmont","Technoavia SM-92 Turbo Finist",0
"217","Aug 29, 2015 at 0647 LT","Kaduna, Kaduna","Dornier DO228",7
"218","Aug 26, 2015 at 2230 LT","Charallave, Miranda","Cessna 550 Citation II",0
"219","Aug 23, 2015 at 1340 LT","Les Bergeronnes, Quebec","De Havilland DHC-2 Beaver",6
"220","Aug 20, 2015 at 0923 LT","Vršatec, Trencín Region","Let 410UVP",3
"221","Aug 20, 2015 at 0923 LT","Vršatec, Trencín Region","Let 410UVP",4
"222","Aug 16, 2015 at 1455 LT","Oksibil, Special Region of Papua","ATR42-300",54
"223","Aug 16, 2015 at 1100 LT","San Diego, California","Rockwell Sabreliner 60",4
"224","Aug 16, 2015 at 0650 LT","Cape Town, Western Cape","Cessna 441 Conquest",5
"225","Aug 12, 2015 at 1205 LT","Saba, Dutch Antilles","Cessna 208B Grand Caravan",0
"226","Aug 12, 2015 at 0845 LT","Ninia, Special Region of Papua","PAC 750XL - Pacific Aerospace Corporation",1
"227","Aug 9, 2015 at 1415 LT","Barkárdal, Northeastern Region (Norðurland eystra)","De Havilland DHC-2 Beaver",1
"228","Aug 9, 2015 at 0900 LT","Clovis, New Mexico","Cessna 421B Golden Eagle II",0
"229","Aug 8, 2015 at 1003 LT","Cajicá, Cundinamarca","Cessna 402",3
"230","Aug 1, 2015 at 2130 LT","Georgetown, Kentucky","Beechcraft King Air 90",0
"231","Aug 1, 2015 at 0740 LT","Stancu<U+021B>a, Braila","PZL-Mielec AN-2",1
"232","Jul 31, 2015 at 1508 LT","Blackbushe, Hampshire","Embraer EMB-505 Phenom 300",4
"233","Jul 31, 2015 at 1430 LT","Agustín Codazzi, Cesar","Casa-Nurtanio CN235 (IPTN)",11
"234","Jul 29, 2015 at 1811 LT","Milwaukee-Lawrence J. Timmerman, Wisconsin","Socata TBM-700",2
"235","Jul 27, 2015","Lagoa Santa (Belo Horizonte), Minas Gerais","Embraer EMB-110 Bandeirante",0
"236","Jul 24, 2015 at 1730 LT","Yangon, Yangon Region","ATR72-200",0
"237","Jul 17, 2015 at 1332 LT","Point Howard, Alaska","Cessna 207 Skywagon",1
"238","Jul 14, 2015 at 1650 LT","Litovko, Khabarovsk Krai","Tupolev TU-95",2
"239","Jul 7, 2015 at 0800 LT","Dubai-Skydive Campus, Dubai","Cessna 208B Grand Caravan",0
"240","Jul 6, 2015 at 1622 LT","Pskov, Pskov oblast","Quest Kodiak 100",0
"241","Jul 2, 2015 at 1709 LT","Kuredu Island, North Central Province","De Havilland DHC-6 Twin Otter",0
"242","Jun 30, 2015 at 1150 LT","Medan-Soewondo AFB, North Sumatra","Lockheed C-130 Hercules",142
"243","Jun 25, 2015 at 1405 LT","Ella Lake, Alaska","De Havilland DHC-3 Otter",9
"244","Jun 25, 2015 at 1309 LT","Okcheon, North Chungcheong (<U+CDA9><U+CCAD><U+BD81><U+B3C4>)","Antonov AN-2",0
"245","Jun 20, 2015 at 1256 LT","Nuquí, Chocó","Cessna 303 Crusader",1
"246","Jun 16, 2015 at 1900 LT","Aktau, Mangystau","Boeing 737-300",0
"247","Jun 15, 2015 at 0805 LT","Rostov-on-Don, Rostov oblast","PZL-Mielec AN-2",0
"248","Jun 8, 2015 at 2123 LT","Karaikal, Tamil Nadu","Dornier DO228",3
"249","Jun 8, 2015 at 1700 LT","Ukrainka AFB, Amur oblast","Tupolev TU-95",1
"250","Jun 7, 2015 at 1520 LT","Belo Horizonte, Minas Gerais","Beechcraft King Air 90",3
"251","Jun 2, 2015 at 1435 LT","Santiago de Querétaro, Querétaro","Swearingen SA226AC Metro II",5
"252","May 30, 2015","Bethel, Alaska","Cessna 207 Skywagon",1
"253","May 24, 2015 at 0040 LT","Ricaurte, Cojedes","Embraer EMB-820 Navajo",2
"254","May 21, 2015","Monterrey-Del Norte, Nuevo León","Cessna 421 Golden Eagle",0
"255","May 20, 2015","Puerto Colombia, Atlántico","Hawker 800XP",4
